    1 1.072	 1.210	 1.003	 1.005	 0.402	 3.543	 0.147	 0.761	 1.097	 0.846	 0.894	 1.005	 0.000	
    2 1.072	 1.210	 1.003	 1.005	 0.402	 3.543	 0.147	 0.761	 1.097	 0.846	 0.894	 1.005	 0.000	
    3 1.072	 1.210	 1.003	 1.005	 0.402	 3.543	 0.147	 0.761	 1.097	 0.846	 0.894	 1.005	 0.000	
    4 1.072	 1.210	 1.003	 1.005	 0.402	 3.543	 0.147	 0.761	 1.097	 0.846	 0.894	 1.005	 0.000	
    5 1.195	 1.210	 0.998	 1.205	 2.488	 2.369	 0.241	 0.704	 1.148	 0.571	 1.173	 0.850	 0.000	
    6 1.137	 1.113	 1.078	 0.311	 1.269	 3.471	 0.666	 0.367	 0.951	 0.912	 0.903	 0.870	 0.000	
    7 1.129	 1.198	 1.104	 1.168	 3.053	 3.932	 0.364	 0.548	 1.242	 0.619	 1.091	 0.803	 0.000	
    8 1.129	 1.198	 1.104	 1.168	 3.053	 3.932	 0.364	 0.548	 1.242	 0.619	 1.091	 0.803	 0.000	
    9 1.129	 1.198	 1.104	 1.168	 3.053	 3.932	 0.364	 0.548	 1.242	 0.619	 1.091	 0.803	 0.000	
   10 1.129	 1.198	 1.104	 1.168	 3.053	 3.932	 0.364	 0.548	 1.242	 0.619	 1.091	 0.803	 0.000	
   11 1.158	 1.047	 1.146	 0.093	 1.341	 1.003	 0.333	 0.789	 0.878	 0.758	 1.166	 0.769	 0.000	
   12 1.158	 1.047	 1.146	 0.093	 1.341	 1.003	 0.333	 0.789	 0.878	 0.758	 1.166	 0.769	 0.000	
   13 0.939	 1.048	 1.073	 0.840	 1.651	 3.242	 0.171	 0.771	 1.058	 0.713	 1.033	 1.089	 0.000	
   14 0.939	 1.048	 1.073	 0.840	 1.651	 3.242	 0.171	 0.771	 1.058	 0.713	 1.033	 1.089	 0.000	
   15 0.924	 1.157	 1.133	 0.604	 1.385	 4.354	 0.063	 0.908	 1.071	 0.814	 0.966	 0.912	 0.000	
   16 1.143	 1.091	 1.151	 0.832	 0.476	 1.746	 0.308	 0.908	 0.844	 0.860	 0.983	 0.739	 0.000	
   17 1.143	 1.091	 1.151	 0.832	 0.476	 1.746	 0.308	 0.908	 0.844	 0.860	 0.983	 0.739	 0.000	
   18 1.057	 1.076	 0.964	 1.033	 0.945	 2.006	 0.382	 0.588	 1.207	 0.690	 1.021	 0.907	 0.000	
   19 1.057	 1.076	 0.964	 1.033	 0.945	 2.006	 0.382	 0.588	 1.207	 0.690	 1.021	 0.907	 0.000	
   20 1.057	 1.076	 0.964	 1.033	 0.945	 2.006	 0.382	 0.588	 1.207	 0.690	 1.021	 0.907	 0.000	
